0,obs_id,Introduction,Campus Afflication,Gender,Gender (Other),Race/Ethnicity,Race/Ethnicity (Other),Employment,Zipcode,Modes,BayPass Access,choice,tt_walk,wt_walk,cost_walk,tt_bike,wt_bike,cost_bike,tt_bus,wt_bus,cost_bus,tt_rail,wt_rail,cost_rail,tt_drive,wt_drive,cost_drive,tt_rideshare,wt_rideshare,cost_rideshare,BayPass,Unnamed: 0_x,Percent_Developed_x,Percent_TOD_x,student_dummy,employed_dummy,Unnamed: 0_y,Percent_Developed_y,Percent_TOD_y
163,30,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed on campus as a student",94704,"AC Transit,Walk",No,1,15,0,0,20,0,0,40,10,0,15,20,0,5,15,8,25,5,2,1,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
164,30,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed on campus as a student",94704,"AC Transit,Walk",No,1,20,0,0,20,0,0,40,5,7,20,0,2,5,20,4,10,0,2,0,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
165,30,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed on campus as a student",94704,"AC Transit,Walk",No,4,30,0,0,10,0,0,40,0,5,20,10,4,15,15,6,15,15,7,0,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
166,30,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed on campus as a student",94704,"AC Transit,Walk",No,1,5,0,0,25,0,0,25,0,3,20,5,4,10,5,8,15,0,10,0,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
167,30,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed on campus as a student",94704,"AC Transit,Walk",No,1,5,0,0,30,0,0,30,5,0,5,10,0,10,10,6,10,0,7,1,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
168,31,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,No,94703,"Bear Transit,AC Transit,Walk,Drive alone",No,1,20,0,0,20,0,0,5,10,10,25,15,7,5,5,10,5,5,10,0,167,100,99.99999964,1,0,167,100,99.99999964
169,31,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,No,94703,"Bear Transit,AC Transit,Walk,Drive alone",No,1,10,0,0,20,0,0,20,15,0,40,0,0,25,10,6,15,0,5,1,167,100,99.99999964,1,0,167,100,99.99999964
170,31,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,No,94703,"Bear Transit,AC Transit,Walk,Drive alone",No,3,35,0,0,25,0,0,10,10,3,40,0,2,15,5,4,20,10,5,0,167,100,99.99999964,1,0,167,100,99.99999964
171,31,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,No,94703,"Bear Transit,AC Transit,Walk,Drive alone",No,3,25,0,0,30,0,0,5,10,5,30,20,4,35,0,7,5,5,3,0,167,100,99.99999964,1,0,167,100,99.99999964
172,31,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,No,94703,"Bear Transit,AC Transit,Walk,Drive alone",No,2,25,0,0,20,0,0,30,20,0,5,10,0,25,5,10,15,20,7,1,167,100,99.99999964,1,0,167,100,99.99999964
173,31,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,No,94703,"Bear Transit,AC Transit,Walk,Drive alone",No,1,5,0,0,35,0,0,35,0,0,30,10,0,25,10,2,40,10,1,1,167,100,99.99999964,1,0,167,100,99.99999964
174,32,"Yes, I consent",Alumnus,Male,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94040,Drive alone,No,1,10,0,0,10,0,0,30,15,6,20,5,3,30,5,3,30,5,5,0,11,99.24116461,93.06029311,0,1,11,99.24116461,93.06029311
175,32,"Yes, I consent",Alumnus,Male,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94040,Drive alone,No,1,15,0,0,10,0,0,30,0,8,10,10,3,35,5,6,35,15,8,0,11,99.24116461,93.06029311,0,1,11,99.24116461,93.06029311
176,32,"Yes, I consent",Alumnus,Male,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94040,Drive alone,No,4,35,0,0,20,0,0,15,15,0,5,5,0,20,15,7,45,0,8,1,11,99.24116461,93.06029311,0,1,11,99.24116461,93.06029311
177,32,"Yes, I consent",Alumnus,Male,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94040,Drive alone,No,3,15,0,0,40,0,0,10,10,0,15,5,0,15,5,9,25,15,1,1,11,99.24116461,93.06029311,0,1,11,99.24116461,93.06029311
178,32,"Yes, I consent",Alumnus,Male,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94040,Drive alone,No,1,15,0,0,30,0,0,30,15,0,25,20,0,15,20,6,5,10,9,1,11,99.24116461,93.06029311,0,1,11,99.24116461,93.06029311
179,32,"Yes, I consent",Alumnus,Male,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94040,Drive alone,No,3,40,0,0,30,0,0,10,0,7,45,5,8,30,10,8,20,0,5,0,11,99.24116461,93.06029311,0,1,11,99.24116461,93.06029311
180,33,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94110,"BART,Walk,Carpool",No,1,20,0,0,25,0,0,35,15,0,45,10,0,25,10,6,5,10,3,1,33,98.33717011,100,0,1,33,98.33717011,100
181,33,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94110,"BART,Walk,Carpool",No,1,5,0,0,35,0,0,45,10,8,40,10,9,20,15,6,35,5,10,0,33,98.33717011,100,0,1,33,98.33717011,100
182,33,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94110,"BART,Walk,Carpool",No,1,10,0,0,5,0,0,10,0,0,35,10,0,30,15,4,15,5,5,1,33,98.33717011,100,0,1,33,98.33717011,100
183,33,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94110,"BART,Walk,Carpool",No,1,10,0,0,10,0,0,40,5,2,20,15,3,25,10,7,40,5,7,0,33,98.33717011,100,0,1,33,98.33717011,100
184,33,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94110,"BART,Walk,Carpool",No,1,10,0,0,5,0,0,10,5,0,10,10,0,10,10,2,40,5,8,1,33,98.33717011,100,0,1,33,98.33717011,100
185,33,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94110,"BART,Walk,Carpool",No,1,25,0,0,5,0,0,40,0,2,10,0,8,45,0,7,5,20,8,0,33,98.33717011,100,0,1,33,98.33717011,100
186,34,"Yes, I consent",Graduate student,Female,Did Not Response,Hispanic or Latinx,Did Not Response,"Yes, employed on campus as a student",94710,"AC Transit,BART,Walk,Personal bike,Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",Yes,3,35,0,0,40,0,0,10,10,0,20,15,0,40,5,6,10,15,8,1,174,87.6439486,88.45883676,1,1,174,87.6439486,88.45883676
187,34,"Yes, I consent",Graduate student,Female,Did Not Response,Hispanic or Latinx,Did Not Response,"Yes, employed on campus as a student",94710,"AC Transit,BART,Walk,Personal bike,Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",Yes,1,15,0,0,15,0,0,25,0,0,35,5,0,25,15,4,25,20,5,1,174,87.6439486,88.45883676,1,1,174,87.6439486,88.45883676
188,34,"Yes, I consent",Graduate student,Female,Did Not Response,Hispanic or Latinx,Did Not Response,"Yes, employed on campus as a student",94710,"AC Transit,BART,Walk,Personal bike,Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",Yes,3,45,0,0,20,0,0,5,5,3,15,10,7,15,15,5,30,15,3,0,174,87.6439486,88.45883676,1,1,174,87.6439486,88.45883676
189,34,"Yes, I consent",Graduate student,Female,Did Not Response,Hispanic or Latinx,Did Not Response,"Yes, employed on campus as a student",94710,"AC Transit,BART,Walk,Personal bike,Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",Yes,2,45,0,0,5,0,0,45,10,0,15,10,0,30,15,5,20,0,8,1,174,87.6439486,88.45883676,1,1,174,87.6439486,88.45883676
190,34,"Yes, I consent",Graduate student,Female,Did Not Response,Hispanic or Latinx,Did Not Response,"Yes, employed on campus as a student",94710,"AC Transit,BART,Walk,Personal bike,Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",Yes,2,25,0,0,20,0,0,35,5,1,20,15,9,30,5,8,20,5,5,0,174,87.6439486,88.45883676,1,1,174,87.6439486,88.45883676
191,34,"Yes, I consent",Graduate student,Female,Did Not Response,Hispanic or Latinx,Did Not Response,"Yes, employed on campus as a student",94710,"AC Transit,BART,Walk,Personal bike,Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",Yes,3,40,0,0,10,0,0,15,0,2,15,0,2,40,5,7,40,5,9,0,174,87.6439486,88.45883676,1,1,174,87.6439486,88.45883676
192,35,"Yes, I consent",Undergraduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94704,"AC Transit,Walk,Personal bike",No,4,30,0,0,25,0,0,25,0,0,15,5,0,15,10,5,15,10,7,1,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
193,35,"Yes, I consent",Undergraduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94704,"AC Transit,Walk,Personal bike",No,1,10,0,0,10,0,0,30,10,0,20,0,0,25,20,8,10,10,6,1,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
194,35,"Yes, I consent",Undergraduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94704,"AC Transit,Walk,Personal bike",No,2,40,0,0,30,0,0,30,10,9,30,5,7,5,5,5,35,0,4,0,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
195,35,"Yes, I consent",Undergraduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94704,"AC Transit,Walk,Personal bike",No,2,25,0,0,25,0,0,40,5,0,30,15,0,5,15,8,10,5,9,1,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
196,35,"Yes, I consent",Undergraduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94704,"AC Transit,Walk,Personal bike",No,2,45,0,0,35,0,0,35,0,6,45,5,6,10,5,10,10,20,7,0,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
197,35,"Yes, I consent",Undergraduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus",94704,"AC Transit,Walk,Personal bike",No,2,15,0,0,5,0,0,5,10,5,40,5,5,10,10,9,30,5,9,0,168,93.18486751,98.48687783,1,1,168,93.18486751,98.48687783
198,36,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus,Yes, employed on campus as a student",94609,"AC Transit,BART,Walk,Personal bike,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,1,15,0,0,15,0,0,35,10,1,30,20,7,15,0,6,30,10,7,0,158,99.9799905,100.0000003,1,"Yes, employed off campus,Yes, employed on campus as a student",158,99.9799905,100.0000003
199,36,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus,Yes, employed on campus as a student",94609,"AC Transit,BART,Walk,Personal bike,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,2,35,0,0,25,0,0,20,20,7,30,15,4,30,0,9,5,20,7,0,158,99.9799905,100.0000003,1,"Yes, employed off campus,Yes, employed on campus as a student",158,99.9799905,100.0000003
200,36,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus,Yes, employed on campus as a student",94609,"AC Transit,BART,Walk,Personal bike,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,2,25,0,0,10,0,0,30,15,0,25,10,0,20,5,8,30,15,6,1,158,99.9799905,100.0000003,1,"Yes, employed off campus,Yes, employed on campus as a student",158,99.9799905,100.0000003
201,36,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus,Yes, employed on campus as a student",94609,"AC Transit,BART,Walk,Personal bike,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,2,15,0,0,5,0,0,10,15,1,20,10,1,30,0,5,20,10,1,0,158,99.9799905,100.0000003,1,"Yes, employed off campus,Yes, employed on campus as a student",158,99.9799905,100.0000003
202,36,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus,Yes, employed on campus as a student",94609,"AC Transit,BART,Walk,Personal bike,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,1,10,0,0,20,0,0,30,10,0,40,5,0,25,15,3,20,20,8,1,158,99.9799905,100.0000003,1,"Yes, employed off campus,Yes, employed on campus as a student",158,99.9799905,100.0000003
203,36,"Yes, I consent",Graduate student,Female,Did Not Response,White,Did Not Response,"Yes, employed off campus,Yes, employed on campus as a student",94609,"AC Transit,BART,Walk,Personal bike,Shared micromobility (ex: Bay Wheels, Veo, Spin)",No,2,40,0,0,5,0,0,10,15,0,40,0,0,10,10,5,35,0,4,1,158,99.9799905,100.0000003,1,"Yes, employed off campus,Yes, employed on campus as a student",158,99.9799905,100.0000003
204,37,"Yes, I consent",Graduate student,Female,Did Not Response,"White,Asian",Did Not Response,"Yes, employed on campus as a student",94609,"AC Transit,BART,Walk,Personal bike,Drive alone,Carpool",No,3,40,0,0,30,0,0,15,0,2,25,10,7,25,5,4,10,10,10,0,158,99.9799905,100.0000003,1,1,158,99.9799905,100.0000003
205,37,"Yes, I consent",Graduate student,Female,Did Not Response,"White,Asian",Did Not Response,"Yes, employed on campus as a student",94609,"AC Transit,BART,Walk,Personal bike,Drive alone,Carpool",No,1,10,0,0,10,0,0,5,15,0,45,0,0,45,10,6,15,0,4,1,158,99.9799905,100.0000003,1,1,158,99.9799905,100.0000003
206,37,"Yes, I consent",Graduate student,Female,Did Not Response,"White,Asian",Did Not Response,"Yes, employed on campus as a student",94609,"AC Transit,BART,Walk,Personal bike,Drive alone,Carpool",No,1,10,0,0,20,0,0,25,5,0,30,10,0,10,15,4,25,15,2,1,158,99.9799905,100.0000003,1,1,158,99.9799905,100.0000003
207,37,"Yes, I consent",Graduate student,Female,Did Not Response,"White,Asian",Did Not Response,"Yes, employed on campus as a student",94609,"AC Transit,BART,Walk,Personal bike,Drive alone,Carpool",No,1,10,0,0,25,0,0,15,15,3,10,10,9,5,10,6,40,10,3,0,158,99.9799905,100.0000003,1,1,158,99.9799905,100.0000003
208,37,"Yes, I consent",Graduate student,Female,Did Not Response,"White,Asian",Did Not Response,"Yes, employed on campus as a student",94609,"AC Transit,BART,Walk,Personal bike,Drive alone,Carpool",No,1,15,0,0,5,0,0,35,0,3,20,0,10,15,20,4,35,10,1,0,158,99.9799905,100.0000003,1,1,158,99.9799905,100.0000003
209,37,"Yes, I consent",Graduate student,Female,Did Not Response,"White,Asian",Did Not Response,"Yes, employed on campus as a student",94609,"AC Transit,BART,Walk,Personal bike,Drive alone,Carpool",No,4,35,0,0,30,0,0,45,0,0,25,15,0,45,0,4,35,5,8,1,158,99.9799905,100.0000003,1,1,158,99.9799905,100.0000003
210,38,"Yes, I consent",I am not affiliated with UC Berkeley,Prefer not to say,Did Not Response,White,Did Not Response,"Yes, employed off campus",94115,"BART,Walk,Carpool,Rideshare (ex: Uber, Lyft)",Yes,1,5,0,0,10,0,0,25,5,0,30,15,0,25,15,7,10,0,8,1,37,98.43417291,100.0000006,0,1,37,98.43417291,100.0000006
211,38,"Yes, I consent",I am not affiliated with UC Berkeley,Prefer not to say,Did Not Response,White,Did Not Response,"Yes, employed off campus",94115,"BART,Walk,Carpool,Rideshare (ex: Uber, Lyft)",Yes,1,15,0,0,25,0,0,20,15,0,15,15,0,35,5,8,35,15,5,1,37,98.43417291,100.0000006,0,1,37,98.43417291,100.0000006
212,38,"Yes, I consent",I am not affiliated with UC Berkeley,Prefer not to say,Did Not Response,White,Did Not Response,"Yes, employed off campus",94115,"BART,Walk,Carpool,Rideshare (ex: Uber, Lyft)",Yes,4,35,0,0,35,0,0,35,15,1,10,5,2,25,15,9,20,20,7,0,37,98.43417291,100.0000006,0,1,37,98.43417291,100.0000006
213,38,"Yes, I consent",I am not affiliated with UC Berkeley,Prefer not to say,Did Not Response,White,Did Not Response,"Yes, employed off campus",94115,"BART,Walk,Carpool,Rideshare (ex: Uber, Lyft)",Yes,1,25,0,0,25,0,0,35,15,7,20,20,7,40,5,6,35,10,1,0,37,98.43417291,100.0000006,0,1,37,98.43417291,100.0000006
214,38,"Yes, I consent",I am not affiliated with UC Berkeley,Prefer not to say,Did Not Response,White,Did Not Response,"Yes, employed off campus",94115,"BART,Walk,Carpool,Rideshare (ex: Uber, Lyft)",Yes,1,25,0,0,30,0,0,25,15,0,15,20,0,20,0,10,25,15,2,1,37,98.43417291,100.0000006,0,1,37,98.43417291,100.0000006
215,38,"Yes, I consent",I am not affiliated with UC Berkeley,Prefer not to say,Did Not Response,White,Did Not Response,"Yes, employed off campus",94115,"BART,Walk,Carpool,Rideshare (ex: Uber, Lyft)",Yes,3,20,0,0,15,0,0,10,15,8,30,0,5,10,0,9,30,0,4,0,37,98.43417291,100.0000006,0,1,37,98.43417291,100.0000006
216,39,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",0,"AC Transit,BART,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin),Carpool,Rideshare (ex: Uber, Lyft)",No,1,5,0,0,5,0,0,35,0,0,45,0,0,10,0,9,30,10,10,1,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
217,39,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",0,"AC Transit,BART,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin),Carpool,Rideshare (ex: Uber, Lyft)",No,4,25,0,0,15,0,0,35,10,0,20,10,0,20,15,9,30,0,3,1,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
218,39,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",0,"AC Transit,BART,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin),Carpool,Rideshare (ex: Uber, Lyft)",No,4,35,0,0,40,0,0,20,20,8,10,5,2,5,15,5,20,15,8,0,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
219,39,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",0,"AC Transit,BART,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin),Carpool,Rideshare (ex: Uber, Lyft)",No,1,10,0,0,10,0,0,30,10,0,20,20,0,30,0,9,25,15,7,1,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
220,39,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",0,"AC Transit,BART,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin),Carpool,Rideshare (ex: Uber, Lyft)",No,3,20,0,0,40,0,0,15,20,4,35,5,4,25,10,1,35,10,5,0,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
221,39,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",0,"AC Transit,BART,Walk,Shared micromobility (ex: Bay Wheels, Veo, Spin),Carpool,Rideshare (ex: Uber, Lyft)",No,1,10,0,0,5,0,0,30,10,8,20,15,5,10,10,8,10,20,5,0,Did Not Response,Did Not Response,Did Not Response,0,1,0,0,0
222,40,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94115,"Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",No,1,15,0,0,30,0,0,20,5,0,15,10,0,25,0,9,5,5,7,1,37,98.43417291,100.0000006,0,1,37,98.43417291,100.0000006
223,40,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94115,"Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",No,3,45,0,0,35,0,0,5,10,8,45,0,4,45,10,3,30,15,9,0,37,98.43417291,100.0000006,0,1,37,98.43417291,100.0000006
224,40,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94115,"Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",No,1,15,0,0,40,0,0,25,20,1,10,0,7,20,15,7,25,0,5,0,37,98.43417291,100.0000006,0,1,37,98.43417291,100.0000006
225,40,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94115,"Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",No,5,20,0,0,20,0,0,35,5,0,35,0,0,15,5,10,15,15,1,1,37,98.43417291,100.0000006,0,1,37,98.43417291,100.0000006
226,40,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94115,"Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",No,1,20,0,0,15,0,0,45,0,5,30,0,4,5,20,8,10,20,4,0,37,98.43417291,100.0000006,0,1,37,98.43417291,100.0000006
227,40,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,"Yes, employed off campus",94115,"Drive alone,Carpool,Rideshare (ex: Uber, Lyft)",No,1,25,0,0,45,0,0,30,0,0,30,10,0,30,15,1,45,0,5,1,37,98.43417291,100.0000006,0,1,37,98.43417291,100.0000006
228,41,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,No,94115,"Walk,Personal bike,Shared micromobility (ex: Bay Wheels, Veo, Spin),Drive alone,Rideshare (ex: Uber, Lyft)",No,1,5,0,0,20,0,0,10,0,0,35,5,0,10,10,2,25,20,5,1,37,98.43417291,100.0000006,0,0,37,98.43417291,100.0000006
229,41,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,No,94115,"Walk,Personal bike,Shared micromobility (ex: Bay Wheels, Veo, Spin),Drive alone,Rideshare (ex: Uber, Lyft)",No,1,5,0,0,20,0,0,10,20,0,15,0,0,5,10,6,30,5,7,1,37,98.43417291,100.0000006,0,0,37,98.43417291,100.0000006
230,41,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,No,94115,"Walk,Personal bike,Shared micromobility (ex: Bay Wheels, Veo, Spin),Drive alone,Rideshare (ex: Uber, Lyft)",No,1,5,0,0,40,0,0,35,15,0,30,0,0,25,0,9,40,0,6,1,37,98.43417291,100.0000006,0,0,37,98.43417291,100.0000006
231,41,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,No,94115,"Walk,Personal bike,Shared micromobility (ex: Bay Wheels, Veo, Spin),Drive alone,Rideshare (ex: Uber, Lyft)",No,1,20,0,0,30,0,0,40,0,9,30,0,5,35,10,1,20,0,8,0,37,98.43417291,100.0000006,0,0,37,98.43417291,100.0000006
232,41,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,No,94115,"Walk,Personal bike,Shared micromobility (ex: Bay Wheels, Veo, Spin),Drive alone,Rideshare (ex: Uber, Lyft)",No,1,10,0,0,30,0,0,45,5,3,15,20,6,5,20,3,35,10,8,0,37,98.43417291,100.0000006,0,0,37,98.43417291,100.0000006
233,41,"Yes, I consent",I am not affiliated with UC Berkeley,Female,Did Not Response,Asian,Did Not Response,No,94115,"Walk,Personal bike,Shared micromobility (ex: Bay Wheels, Veo, Spin),Drive alone,Rideshare (ex: Uber, Lyft)",No,1,20,0,0,25,0,0,30,20,7,15,20,7,45,10,8,30,20,1,0,37,98.43417291,100.0000006,0,0,37,98.43417291,100.0000006
234,43,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,"Yes, employed on campus as a student",94703,"AC Transit,Walk,Rideshare (ex: Uber, Lyft)",Yes,2,30,0,0,5,0,0,30,5,0,15,5,0,25,0,5,30,5,6,1,167,100,99.99999964,1,1,167,100,99.99999964
235,43,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,"Yes, employed on campus as a student",94703,"AC Transit,Walk,Rideshare (ex: Uber, Lyft)",Yes,1,30,0,0,30,0,0,40,0,9,20,10,4,45,0,3,10,10,9,0,167,100,99.99999964,1,1,167,100,99.99999964
236,43,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,"Yes, employed on campus as a student",94703,"AC Transit,Walk,Rideshare (ex: Uber, Lyft)",Yes,1,5,0,0,15,0,0,30,20,0,40,5,0,25,0,9,10,0,6,1,167,100,99.99999964,1,1,167,100,99.99999964
237,43,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,"Yes, employed on campus as a student",94703,"AC Transit,Walk,Rideshare (ex: Uber, Lyft)",Yes,3,40,0,0,40,0,0,15,15,2,10,15,4,10,15,9,40,5,5,0,167,100,99.99999964,1,1,167,100,99.99999964
238,43,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,"Yes, employed on campus as a student",94703,"AC Transit,Walk,Rideshare (ex: Uber, Lyft)",Yes,3,20,0,0,30,0,0,10,10,0,10,20,0,10,10,3,35,5,5,1,167,100,99.99999964,1,1,167,100,99.99999964
239,43,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,"Yes, employed on campus as a student",94703,"AC Transit,Walk,Rideshare (ex: Uber, Lyft)",Yes,2,35,0,0,15,0,0,35,10,6,15,20,7,5,10,7,40,10,6,0,167,100,99.99999964,1,1,167,100,99.99999964
240,44,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,No,0,Bear Transit,Yes,1,35,0,0,10,0,0,5,15,4,25,15,6,35,15,6,5,20,8,0,Did Not Response,Did Not Response,Did Not Response,1,0,0,0,0
241,44,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,No,0,Bear Transit,Yes,4,25,0,0,20,0,0,5,15,0,45,5,0,30,0,8,35,0,5,1,Did Not Response,Did Not Response,Did Not Response,1,0,0,0,0
242,44,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,No,0,Bear Transit,Yes,4,5,0,0,5,0,0,25,5,0,20,5,0,25,5,9,15,15,9,1,Did Not Response,Did Not Response,Did Not Response,1,0,0,0,0
243,44,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,No,0,Bear Transit,Yes,4,45,0,0,30,0,0,25,5,0,15,15,0,45,0,8,5,5,9,1,Did Not Response,Did Not Response,Did Not Response,1,0,0,0,0
244,44,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,No,0,Bear Transit,Yes,1,25,0,0,40,0,0,15,20,1,5,10,9,25,20,2,30,0,8,0,Did Not Response,Did Not Response,Did Not Response,1,0,0,0,0
245,44,"Yes, I consent",Graduate student,Male,Did Not Response,Asian,Did Not Response,No,0,Bear Transit,Yes,1,30,0,0,30,0,0,15,5,7,40,0,7,45,5,8,20,5,1,0,Did Not Response,Did Not Response,Did Not Response,1,0,0,0,0
